esmartin@ubuntu2:~/Desktop/iRAC---P3---DASH/2.3ClienteVisualizacion$ python3 -m http.server 8089
Serving HTTP on 0.0.0.0 port 8089 (http://0.0.0.0:8089/) ...
127.0.0.1 - - [12/May/2022 07:24:20] "GET /output/video/avc1/1/seg-189.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:24:20] "GET /output/video/avc1/1/seg-190.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:24:20] "GET /output/video/avc1/1/seg-191.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:24:21] "GET /output/video/avc1/1/seg-192.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:24:21] "GET /output/video/avc1/1/seg-193.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:24:23] "GET /output/video/avc1/1/seg-194.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:24:25] "GET /output/video/avc1/1/seg-195.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:24:27] "GET /output/video/avc1/1/seg-196.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:24:29] "GET /output/video/avc1/1/seg-197.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:24:31] "GET /output/video/avc1/2/seg-198.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:15] "GET /output/video/avc1/2/seg-199.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:17] "GET /output/video/avc1/2/seg-200.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:19] "GET /output/video/avc1/2/seg-201.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:20] "GET /output/video/avc1/2/seg-202.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:22] "GET /output/video/avc1/2/seg-203.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:42] "GET /output/video/avc1/3/init.mp4 HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:42] "GET /output/video/avc1/3/seg-204.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:42] "GET /output/video/avc1/3/seg-205.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:42] "GET /output/video/avc1/3/seg-206.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:42] "GET /output/video/avc1/3/seg-207.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:42] "GET /output/video/avc1/3/seg-208.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:43] "GET /output/video/avc1/3/seg-209.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:43] "GET /output/video/avc1/3/seg-210.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:43] "GET /output/video/avc1/3/seg-211.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:43] "GET /output/video/avc1/3/seg-212.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:43] "GET /output/video/avc1/3/seg-213.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:26:44] "GET /output/video/avc1/3/seg-214.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:27:33] "GET /output/video/avc1/3/seg-41.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:27:33] "GET /output/video/avc1/3/seg-42.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:27:33] "GET /output/video/avc1/2/seg-43.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:27:33] "GET /output/video/avc1/2/seg-44.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:27:33] "GET /output/video/avc1/2/seg-45.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:27:33] "GET /output/video/avc1/2/seg-46.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:27:33] "GET /output/video/avc1/2/seg-47.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:27:35] "GET /output/video/avc1/2/seg-48.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:27:41] "GET /output/video/avc1/2/seg-49.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:27:43] "GET /output/video/avc1/2/seg-50.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:37] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [12/May/2022 07:29:38] "GET /output/stream.mpd HTTP/1.1" 304 -
127.0.0.1 - - [12/May/2022 07:29:39] "GET /output/video/avc1/3/seg-1.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:39] "GET /output/video/avc1/3/seg-2.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:40] "GET /output/video/avc1/3/seg-3.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:40] "GET /output/video/avc1/3/seg-4.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:40] "GET /output/video/avc1/3/seg-5.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:41] "GET /output/video/avc1/3/seg-6.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:41] "GET /output/video/avc1/3/seg-7.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:41] "GET /output/video/avc1/3/seg-8.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:42] "GET /output/video/avc1/3/seg-9.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:42] "GET /output/video/avc1/3/seg-10.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:42] "GET /output/video/avc1/3/seg-11.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:42] "GET /output/video/avc1/3/seg-12.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:43] "GET /output/video/avc1/3/seg-13.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:43] "GET /output/video/avc1/3/seg-14.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:43] "GET /output/video/avc1/3/seg-15.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:44] "GET /output/video/avc1/3/seg-16.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:44] "GET /output/video/avc1/3/seg-17.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:29:46] "GET /output/video/avc1/3/seg-18.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:56] "GET /output/video/avc1/3/seg-178.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:57] "GET /output/video/avc1/3/seg-179.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:57] "GET /output/video/avc1/3/seg-180.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:57] "GET /output/video/avc1/3/seg-181.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:57] "GET /output/video/avc1/3/seg-182.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:57] "GET /output/video/avc1/3/seg-183.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:58] "GET /output/video/avc1/3/seg-184.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:58] "GET /output/video/avc1/3/seg-185.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:58] "GET /output/video/avc1/3/seg-186.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:58] "GET /output/video/avc1/3/seg-187.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:58] "GET /output/video/avc1/3/seg-188.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:58] "GET /output/video/avc1/3/seg-189.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:58] "GET /output/video/avc1/3/seg-190.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:59] "GET /output/video/avc1/3/seg-191.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:59] "GET /output/video/avc1/3/seg-192.m4s HTTP/1.1" 200 -
127.0.0.1 - - [12/May/2022 07:30:59] "GET /output/video/avc1/3/seg-193.m4s HTTP/1.1" 200 -

